, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
82, ,82.0, Kyurem             ,  0.99083% ,20611.0,  0.514% ,15143.0,  0.493% , 
83, ,83.0, Seismitoad         ,  0.97997% ,28159.0,  0.702% ,24405.0,  0.794% , 
84, ,84.0, Araquanid          ,  0.94463% ,72542.0,  1.809% ,62163.0,  2.023% , 
85, ,85.0, Alakazam           ,  0.90687% ,55338.0,  1.380% ,36704.0,  1.195% , 
86, ,86.0, Salamence          ,  0.87789% ,88991.0,  2.219% ,63730.0,  2.074% , 
87, ,87.0, Venusaur           ,  0.86378% ,60093.0,  1.499% ,45635.0,  1.485% , 
88, ,88.0, Zeraora            ,  0.85341% ,81593.0,  2.035% ,61255.0,  1.994% , 
89, ,89.0, Torkoal            ,  0.82713% ,63982.0,  1.595% ,58771.0,  1.913% , 
90, ,90.0, Heracross-Mega     ,  0.78747% ,52534.0,  1.310% ,37672.0,  1.226% , 
91, ,91.0, Breloom            ,  0.75738% ,107324.0,  2.676% ,80143.0,  2.608% , 
92, ,92.0, Volcanion          ,  0.75284% ,50440.0,  1.258% ,39409.0,  1.283% , 
93, ,93.0, Meloetta           ,  0.73246% ,10553.0,  0.263% ,7315.0,  0.238% , 
94, ,94.0, Buzzwole           ,  0.72869% ,55864.0,  1.393% ,41040.0,  1.336% , 
95, ,95.0, Diggersby          ,  0.72804% ,27088.0,  0.675% ,20522.0,  0.668% , 
96, ,96.0, Uxie               ,  0.72294% ,25450.0,  0.635% ,23908.0,  0.778% , 
97, ,97.0, Ninetales-Alola    ,  0.70339% ,87641.0,  2.185% ,70439.0,  2.293% , 
98, ,98.0, Togekiss           ,  0.69840% ,68230.0,  1.701% ,49043.0,  1.596% , 
99, ,99.0, Conkeldurr         ,  0.67439% ,68947.0,  1.719% ,51946.0,  1.691% , 
100, ,100.0, Camerupt-Mega      ,  0.66206% ,20876.0,  0.521% ,16667.0,  0.542% , 
101, ,101.0, Thundurus          ,  0.66024% ,36085.0,  0.900% ,27820.0,  0.905% , 
102, ,102.0, Tentacruel         ,  0.63333% ,41065.0,  1.024% ,31457.0,  1.024% , 
103, ,103.0, Aggron-Mega        ,  0.62078% ,40051.0,  0.999% ,33205.0,  1.081% , 
104, ,104.0, Beedrill-Mega      ,  0.60095% ,96008.0,  2.394% ,73327.0,  2.387% , 
105, ,105.0, Latios             ,  0.59844% ,68135.0,  1.699% ,49564.0,  1.613% , 
106, ,106.0, Manectric-Mega     ,  0.58347% ,62695.0,  1.563% ,50220.0,  1.634% , 
107, ,107.0, Terrakion          ,  0.56154% ,18232.0,  0.455% ,13147.0,  0.428% , 
108, ,108.0, Porygon-Z          ,  0.55379% ,66978.0,  1.670% ,47341.0,  1.541% , 
109, ,109.0, Nidoking           ,  0.54200% ,60726.0,  1.514% ,46667.0,  1.519% , 
110, ,110.0, Zygarde-10%        ,  0.53624% ,14376.0,  0.358% ,10438.0,  0.340% , 
111, ,111.0, Mantine            ,  0.52975% ,21175.0,  0.528% ,16118.0,  0.525% , 
112, ,112.0, Suicune            ,  0.52525% ,29217.0,  0.729% ,21987.0,  0.716% , 
113, ,113.0, Altaria-Mega       ,  0.52377% ,34306.0,  0.855% ,24846.0,  0.809% , 
114, ,114.0, Cloyster           ,  0.51242% ,83975.0,  2.094% ,62881.0,  2.047% , 
115, ,115.0, Stakataka          ,  0.50720% ,30960.0,  0.772% ,23124.0,  0.753% , 
116, ,116.0, Gengar             ,  0.49557% ,103579.0,  2.583% ,72945.0,  2.374% , 
117, ,117.0, Primarina          ,  0.48122% ,22364.0,  0.558% ,16727.0,  0.544% , 
118, ,118.0, Starmie            ,  0.43699% ,46390.0,  1.157% ,33932.0,  1.104% , 
119, ,119.0, Gallade-Mega       ,  0.42760% ,68806.0,  1.716% ,48704.0,  1.585% , 
120, ,120.0, Swampert           ,  0.42527% ,30936.0,  0.771% ,26001.0,  0.846% , 
121, ,121.0, Celebi             ,  0.42506% ,13579.0,  0.339% ,10207.0,  0.332% , 
122, ,122.0, Pyukumuku          ,  0.41590% ,21636.0,  0.540% ,15666.0,  0.510% , 
123, ,123.0, Xurkitree          ,  0.40180% ,53982.0,  1.346% ,39813.0,  1.296% , 
124, ,124.0, Infernape          ,  0.39786% ,103063.0,  2.570% ,78599.0,  2.558% , 
125, ,125.0, Lanturn            ,  0.39299% ,10318.0,  0.257% ,8091.0,  0.263% , 
126, ,126.0, Nihilego           ,  0.38703% ,40244.0,  1.004% ,30896.0,  1.006% , 
127, ,127.0, Sharpedo-Mega      ,  0.38450% ,23832.0,  0.594% ,16930.0,  0.551% , 
128, ,128.0, Snorlax            ,  0.38395% ,73902.0,  1.843% ,54012.0,  1.758% , 
129, ,129.0, Avalugg            ,  0.35174% ,10560.0,  0.263% ,7704.0,  0.251% , 
130, ,130.0, Staraptor          ,  0.33659% ,70089.0,  1.748% ,52653.0,  1.714% , 
131, ,131.0, Mandibuzz          ,  0.32239% ,28361.0,  0.707% ,22033.0,  0.717% , 
132, ,132.0, Darmanitan         ,  0.29383% ,47798.0,  1.192% ,36278.0,  1.181% , 
133, ,133.0, Krookodile         ,  0.29370% ,41041.0,  1.023% ,31085.0,  1.012% , 
134, ,134.0, Necrozma           ,  0.29090% ,13559.0,  0.338% ,10360.0,  0.337% , 
135, ,135.0, Blissey            ,  0.28632% ,44933.0,  1.120% ,32886.0,  1.070% , 
136, ,136.0, Gardevoir-Mega     ,  0.28582% ,64495.0,  1.608% ,43701.0,  1.422% , 
137, ,137.0, Vaporeon           ,  0.27492% ,24577.0,  0.613% ,18474.0,  0.601% , 
138, ,138.0, Espeon             ,  0.25937% ,63972.0,  1.595% ,47464.0,  1.545% , 
139, ,139.0, Bronzong           ,  0.25652% ,26957.0,  0.672% ,23645.0,  0.770% , 
140, ,140.0, Aerodactyl-Mega    ,  0.25398% ,45151.0,  1.126% ,33019.0,  1.075% , 
141, ,141.0, Comfey             ,  0.25194% ,14293.0,  0.356% ,10203.0,  0.332% , 
142, ,142.0, Empoleon           ,  0.24891% ,46960.0,  1.171% ,37566.0,  1.223% , 
143, ,143.0, Klefki             ,  0.23837% ,34800.0,  0.868% ,29014.0,  0.944% , 
144, ,144.0, Talonflame         ,  0.23009% ,35953.0,  0.897% ,25790.0,  0.839% , 
145, ,145.0, Xatu               ,  0.22632% ,18602.0,  0.464% ,14801.0,  0.482% , 
146, ,146.0, Cofagrigus         ,  0.21903% ,27462.0,  0.685% ,21449.0,  0.698% , 
147, ,147.0, Shuckle            ,  0.21764% ,54376.0,  1.356% ,47375.0,  1.542% , 
148, ,148.0, Linoone            ,  0.21719% ,24991.0,  0.623% ,17787.0,  0.579% , 
149, ,149.0, Guzzlord           ,  0.20820% ,5456.0,  0.136% ,3899.0,  0.127% , 
150, ,150.0, Rhyperior          ,  0.20626% ,19334.0,  0.482% ,15278.0,  0.497% , 
151, ,151.0, Decidueye          ,  0.19259% ,20544.0,  0.512% ,14975.0,  0.487% , 
152, ,152.0, Blastoise          ,  0.18972% ,15147.0,  0.378% ,11487.0,  0.374% , 
153, ,153.0, Latias             ,  0.18882% ,33555.0,  0.837% ,24254.0,  0.789% , 
154, ,154.0, Rhydon             ,  0.18590% ,6449.0,  0.161% ,5035.0,  0.164% , 
155, ,155.0, Chesnaught         ,  0.18517% ,17464.0,  0.435% ,13195.0,  0.429% , 
156, ,156.0, Druddigon          ,  0.18471% ,10468.0,  0.261% ,9270.0,  0.302% , 
157, ,157.0, Azelf              ,  0.18427% ,28424.0,  0.709% ,25604.0,  0.833% , 
158, ,158.0, Glalie-Mega        ,  0.17432% ,11369.0,  0.284% ,8307.0,  0.270% , 
159, ,159.0, Golisopod          ,  0.16938% ,35682.0,  0.890% ,27510.0,  0.895% , 
160, ,160.0, Porygon2           ,  0.16910% ,35216.0,  0.878% ,27331.0,  0.890% , 
161, ,161.0, Registeel          ,  0.16751% ,13291.0,  0.331% ,11030.0,  0.359% , 
162, ,162.0, Salazzle           ,  0.16563% ,43116.0,  1.075% ,32138.0,  1.046% , 
163, ,163.0, Houndoom-Mega      ,  0.15307% ,25626.0,  0.639% ,18325.0,  0.596% , 
164, ,164.0, Raikou             ,  0.14545% ,13010.0,  0.324% ,9545.0,  0.311% , 
165, ,165.0, Diancie            ,  0.14360% ,5231.0,  0.130% ,4103.0,  0.134% , 
166, ,166.0, Goodra             ,  0.13129% ,62175.0,  1.550% ,46884.0,  1.526% , 
167, ,167.0, Golem-Alola        ,  0.13068% ,14162.0,  0.353% ,10741.0,  0.350% , 
168, ,168.0, Vileplume          ,  0.12792% ,8170.0,  0.204% ,6178.0,  0.201% , 
169, ,169.0, Tyrantrum          ,  0.12553% ,12915.0,  0.322% ,9022.0,  0.294% , 
170, ,170.0, Scolipede          ,  0.12512% ,47496.0,  1.184% ,34846.0,  1.134% , 
171, ,171.0, Absol-Mega         ,  0.12435% ,25582.0,  0.638% ,19649.0,  0.640% , 
172, ,172.0, Flygon             ,  0.11923% ,22373.0,  0.558% ,16393.0,  0.534% , 
173, ,173.0, Moltres            ,  0.11538% ,12188.0,  0.304% ,9289.0,  0.302% , 
174, ,174.0, Ursaring           ,  0.11389% ,9013.0,  0.225% ,6498.0,  0.211% , 
175, ,175.0, Rotom-Heat         ,  0.11244% ,29307.0,  0.731% ,24019.0,  0.782% , 
176, ,176.0, Incineroar         ,  0.11008% ,52037.0,  1.298% ,41404.0,  1.348% , 
177, ,177.0, Slowking           ,  0.10957% ,10798.0,  0.269% ,8296.0,  0.270% , 
178, ,178.0, Arcanine           ,  0.10587% ,52352.0,  1.305% ,40469.0,  1.317% , 
179, ,179.0, Zoroark            ,  0.10474% ,29484.0,  0.735% ,13766.0,  0.448% , 
180, ,180.0, Metagross          ,  0.10362% ,53854.0,  1.343% ,40285.0,  1.311% , 
181, ,181.0, Magneton           ,  0.10024% ,11356.0,  0.283% ,8782.0,  0.286% , 
182, ,182.0, Crobat             ,  0.09832% ,42257.0,  1.054% ,31594.0,  1.028% , 
183, ,183.0, Slaking            ,  0.09502% ,12208.0,  0.304% ,9041.0,  0.294% , 
184, ,184.0, Raichu-Alola       ,  0.09296% ,19355.0,  0.483% ,13678.0,  0.445% , 
185, ,185.0, Omastar            ,  0.08600% ,11273.0,  0.281% ,8450.0,  0.275% , 
186, ,186.0, Umbreon            ,  0.08561% ,60601.0,  1.511% ,42352.0,  1.378% , 
187, ,187.0, Lucario            ,  0.08459% ,48869.0,  1.219% ,34670.0,  1.128% , 
188, ,188.0, Donphan            ,  0.08310% ,22345.0,  0.557% ,18872.0,  0.614% , 
189, ,189.0, Entei              ,  0.07905% ,14259.0,  0.356% ,10916.0,  0.355% , 
190, ,190.0, Forretress         ,  0.07720% ,35589.0,  0.887% ,31036.0,  1.010% , 
191, ,191.0, Whimsicott         ,  0.07521% ,27324.0,  0.681% ,20932.0,  0.681% , 
192, ,192.0, Banette-Mega       ,  0.07502% ,18997.0,  0.474% ,14167.0,  0.461% , 
193, ,193.0, Pidgeot-Mega       ,  0.07501% ,30125.0,  0.751% ,22100.0,  0.719% , 
194, ,194.0, Barbaracle         ,  0.07458% ,7800.0,  0.195% ,5339.0,  0.174% , 
195, ,195.0, Feraligatr         ,  0.07450% ,29603.0,  0.738% ,21239.0,  0.691% , 
196, ,196.0, Steelix-Mega       ,  0.07062% ,15416.0,  0.384% ,12297.0,  0.400% , 
197, ,197.0, Doublade           ,  0.07029% ,17629.0,  0.440% ,13056.0,  0.425% , 
198, ,198.0, Smeargle           ,  0.06920% ,26930.0,  0.672% ,24329.0,  0.792% , 
199, ,199.0, Roserade           ,  0.06899% ,24932.0,  0.622% ,18256.0,  0.594% , 
200, ,200.0, Kabutops           ,  0.06876% ,14196.0,  0.354% ,10115.0,  0.329% , 
201, ,201.0, Sceptile-Mega      ,  0.06860% ,38811.0,  0.968% ,27755.0,  0.903% , 
202, ,202.0, Aerodactyl         ,  0.06831% ,18629.0,  0.465% ,15849.0,  0.516% , 
203, ,203.0, Slurpuff           ,  0.06816% ,29689.0,  0.740% ,21950.0,  0.714% , 
204, ,204.0, Politoed           ,  0.06589% ,20782.0,  0.518% ,17802.0,  0.579% , 
205, ,205.0, Heracross          ,  0.06373% ,17214.0,  0.429% ,11974.0,  0.390% , 
206, ,206.0, Komala             ,  0.06337% ,12492.0,  0.312% ,8851.0,  0.288% , 
207, ,207.0, Drampa             ,  0.06266% ,6778.0,  0.169% ,4989.0,  0.162% , 
208, ,208.0, Hoopa              ,  0.06230% ,5483.0,  0.137% ,3967.0,  0.129% , 
209, ,209.0, Meowstic           ,  0.06219% ,12141.0,  0.303% ,9720.0,  0.316% , 
210, ,210.0, Toxicroak          ,  0.06048% ,21246.0,  0.530% ,15164.0,  0.494% , 
211, ,211.0, Milotic            ,  0.06014% ,47407.0,  1.182% ,35505.0,  1.156% , 
212, ,212.0, Dusclops           ,  0.05962% ,16876.0,  0.421% ,13103.0,  0.426% , 
213, ,213.0, Durant             ,  0.05702% ,8360.0,  0.208% ,6190.0,  0.201% , 
214, ,214.0, Nidoqueen          ,  0.05575% ,9990.0,  0.249% ,8152.0,  0.265% , 
215, ,215.0, Aggron             ,  0.05491% ,11561.0,  0.288% ,8771.0,  0.285% , 
216, ,216.0, Galvantula         ,  0.05448% ,58825.0,  1.467% ,51543.0,  1.678% , 
217, ,217.0, Haxorus            ,  0.05443% ,33730.0,  0.841% ,22722.0,  0.740% , 
218, ,218.0, Abomasnow-Mega     ,  0.05413% ,12518.0,  0.312% ,9412.0,  0.306% , 
219, ,219.0, Sylveon            ,  0.05208% ,35304.0,  0.880% ,24179.0,  0.787% , 
220, ,220.0, Chandelure         ,  0.05145% ,52596.0,  1.312% ,38751.0,  1.261% , 
