, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
130, ,130.0, Darmanitan         ,  0.20430% ,2532.0,  0.722% ,0.0,  0.000% , 
131, ,131.0, Buzzwole           ,  0.20326% ,1806.0,  0.515% ,0.0,  0.000% , 
132, ,132.0, Ninetales          ,  0.20142% ,8455.0,  2.410% ,0.0,  0.000% , 
133, ,133.0, Aromatisse         ,  0.19916% ,1958.0,  0.558% ,0.0,  0.000% , 
134, ,134.0, Pheromosa          ,  0.19850% ,4112.0,  1.172% ,0.0,  0.000% , 
135, ,135.0, Typhlosion         ,  0.19283% ,4982.0,  1.420% ,0.0,  0.000% , 
136, ,136.0, Camerupt           ,  0.19263% ,1537.0,  0.438% ,0.0,  0.000% , 
137, ,137.0, Machamp            ,  0.19000% ,4241.0,  1.209% ,0.0,  0.000% , 
138, ,138.0, Beartic            ,  0.18856% ,2102.0,  0.599% ,0.0,  0.000% , 
139, ,139.0, Naganadel          ,  0.18732% ,3859.0,  1.100% ,0.0,  0.000% , 
140, ,140.0, Sceptile-Mega      ,  0.18729% ,12182.0,  3.472% ,0.0,  0.000% , 
141, ,141.0, Blastoise-Mega     ,  0.18252% ,4074.0,  1.161% ,0.0,  0.000% , 
142, ,142.0, Noivern            ,  0.17991% ,2688.0,  0.766% ,0.0,  0.000% , 
143, ,143.0, Reuniclus          ,  0.15961% ,2869.0,  0.818% ,0.0,  0.000% , 
144, ,144.0, Heracross-Mega     ,  0.15311% ,2803.0,  0.799% ,0.0,  0.000% , 
145, ,145.0, Omastar            ,  0.15088% ,1056.0,  0.301% ,0.0,  0.000% , 
146, ,146.0, Rhyperior          ,  0.14676% ,3345.0,  0.953% ,0.0,  0.000% , 
147, ,147.0, Serperior          ,  0.14648% ,12332.0,  3.514% ,0.0,  0.000% , 
148, ,148.0, Thundurus          ,  0.14635% ,4402.0,  1.254% ,0.0,  0.000% , 
149, ,149.0, Clefable           ,  0.14581% ,14436.0,  4.114% ,0.0,  0.000% , 
150, ,150.0, Metagross          ,  0.14441% ,6805.0,  1.939% ,0.0,  0.000% , 
151, ,151.0, Lycanroc           ,  0.14436% ,1055.0,  0.301% ,0.0,  0.000% , 
152, ,152.0, Slurpuff           ,  0.14422% ,1512.0,  0.431% ,0.0,  0.000% , 
153, ,153.0, Latios             ,  0.14301% ,2525.0,  0.720% ,0.0,  0.000% , 
154, ,154.0, Cherrim            ,  0.13853% ,2104.0,  0.600% ,0.0,  0.000% , 
155, ,155.0, Infernape          ,  0.13543% ,5511.0,  1.571% ,0.0,  0.000% , 
156, ,156.0, Sylveon            ,  0.13203% ,5106.0,  1.455% ,0.0,  0.000% , 
157, ,157.0, Kyurem             ,  0.12659% ,870.0,  0.248% ,0.0,  0.000% , 
158, ,158.0, Scizor             ,  0.12637% ,3884.0,  1.107% ,0.0,  0.000% , 
159, ,159.0, Breloom            ,  0.12610% ,5307.0,  1.512% ,0.0,  0.000% , 
160, ,160.0, Forretress         ,  0.12544% ,1384.0,  0.394% ,0.0,  0.000% , 
161, ,161.0, Drampa             ,  0.12299% ,2106.0,  0.600% ,0.0,  0.000% , 
162, ,162.0, Rotom-Heat         ,  0.12023% ,2684.0,  0.765% ,0.0,  0.000% , 
163, ,163.0, Deoxys-Speed       ,  0.11903% ,1144.0,  0.326% ,0.0,  0.000% , 
164, ,164.0, Heliolisk          ,  0.11563% ,4978.0,  1.419% ,0.0,  0.000% , 
